# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.38,0.74,177.89861238031818,0,3.0,-0.04418712807591835,13.45,0.0,0.08638595021349381
 0.07556700432451595,6.371440202072387,0.7403140811259321,177.89861238031818,0.22670101297354786,3.0,-0.04418712807591835,13.45652792747336,-0.6953768023097701,0.6312032808903116
 0.10659148118882492,6.362968962903587,0.7406281068343272,177.87703867880293,0.3197744435664748,3.0000000000000004,-0.045155945394859634,13.476110679058017,-0.923800032024158,1.3817360284182802
 0.13020994570105138,6.354585510907565,0.7409420752293845,177.85521994053016,0.39062983710315413,2.9999999999999987,-0.046144471974959966,13.508745162410479,-1.1169442308573552,2.3123562071621215
 0.14996514674471112,6.346289074498289,0.7412559844153035,177.83315448269502,0.44989544023413336,3.0,-0.047152912559587735,13.554426224167521,-1.2921871061879016,3.4004877260328006
 0.16723338333997115,6.3380788820897225,0.7415698324962833,177.81084069002003,0.5017001500199134,2.9999999999999982,-0.04818145810253509,13.613146650759933,-1.456740791274969,4.632309676753132
 0.18272252888475118,6.3299541620958335,0.7418836175765233,177.78827701988294,0.5481675866542535,2.9999999999999964,-0.04923028791026843,13.684897169551656,-1.6144485314982036,5.998490806828992
 0.19685429693811668,6.321914142930587,0.7421973377602227,177.76546200770173,0.59056289081435,3.0000000000000018,-0.050299559539061206,13.769666450304008,-1.7676488589264454,7.492337628050123
 0.20990425030578486,6.31395805300795,0.7425109911515808,177.74239427252232,0.6297127509173545,2.9999999999999956,-0.05138941710532937,13.867441106964888,-1.9178905903518793,9.108852188561942
 0.22206435462241453,6.306085120741888,0.742824575854797,177.71907252287576,0.6661930638672434,2.9999999999999956,-0.05249998308961158,13.978205699782562,-2.066262435338791,10.844196757325067
 0.23347479291768575,6.298294574546367,0.7431380899740706,177.6954955628555,0.7004243787530571,3.0,-0.05363135934763348,14.1019427377438,-2.213564315718353,12.695364618062463
 0.24424171042690296,6.290585642835354,0.7434515316136007,177.67166229846683,0.7327251312807087,3.0,-0.054783623149702754,14.238632681335913,-2.360404369750625,14.659965160299025
 0.25444782365161384,6.282957554022814,0.7437648988775867,177.64757174421302,0.7633434709548415,3.0000000000000107,-0.0559568280782224,14.388253945632242,-2.507257524565069,16.73607686084788
 0.2641591173687607,6.275409536522713,0.7440781898702278,177.62322302996748,0.7924773521062821,3.0000000000000115,-0.057151000131793514,14.55078290370068,-2.654502688993988,18.92214282324119
 0.27342926125640427,6.267940818749018,0.7443914026957235,177.59861540809035,0.8202877837692129,3.0,-0.05836613561986985,14.726193890334669,-2.80244733112172,21.216894177593904
 0.28230262953526,6.260550629115696,0.744704535458273,177.5737482608392,0.84690788860578,3.000000000000006,-0.05960220010940134,14.914459206105969,-2.951344261669591,23.619292380864064
 0.2908164288646487,6.253238196036709,0.7450175862620754,177.54862110804342,0.8724492865939463,3.0000000000000067,-0.060859124075326176,15.115549121738805,-3.101403402367842,26.12848472618901
 0.29900223693223976,6.2460027479260285,0.7453305532113303,177.52323361505145,0.8970067107967195,3.0,-0.062136802770153446,15.329431882804373,-3.2528002135583365,28.7437693187057
 0.30688713989739963,6.238843513197616,0.7456434344102367,177.4975856010025,0.9206614196921991,3.0,-0.06343509158490791,15.556073714735307,-3.4056818517219956,31.464566983096823
 0.3144945896853564,6.2317597202654404,0.7459562279629942,177.47167704732178,0.9434837690560693,3.000000000000007,-0.06475380571252871,15.795438828159018,-3.560171708320721,34.29039834084447
 0.3218450612046691,6.224750597543468,0.7462689319738018,177.44550810657586,0.9655351836140075,2.9999999999999925,-0.0660927139589398,16.047489424549283,-3.7163728142139436,37.220864805301034
 0.3289565638263948,6.217815373445662,0.746581544546859,177.41907911156432,0.9868696914791847,3.000000000000008,-0.06745153935721278,16.31218570219508,-3.874370391235994,40.255632586850695
 0.3358450448282115,6.2109532763859905,0.746894063786365,177.39239058473026,1.0075351344846346,2.999999999999992,-0.06882995481751064,16.589485862485713,-4.034233778428416,43.39441903820093
 0.34252471148696817,6.20416353477842,0.7472064877965191,177.36544324786686,1.0275741344609046,2.9999999999999916,-0.07022757884584405,16.8793461165113,-4.196017884674597,46.636980838199975
 0.3490082910418991,6.197445377036916,0.7475188146815205,177.33823803209765,1.0470248731256975,3.0,-0.0716439739313044,17.18172069197756,-4.359764270320066,49.98310363238199
 0.3553072425990464,6.190798031575444,0.7478310425455686,177.31077608815835,1.0659217277971393,3.000000000000009,-0.07307864259376365,17.496561840433806,-4.525501942545216,53.43259283648076
 0.36143193142671803,6.18422072680797,0.7481431694928627,177.28305879697123,1.0842957942801543,3.000000000000009,-0.07453102421328832,17.823819844812927,-4.693247927866148,56.98526537429581
 0.36739177350587077,6.1777126911484626,0.7484551936276022,177.25508778048282,1.1021753205176126,3.0000000000000093,-0.07600049103836368,18.16344302728234,-4.863007655734979,60.640942169670225
 0.37319535632517237,6.171273153010885,0.748767113053986,177.22686491280186,1.1195860689755173,2.999999999999981,-0.07748634568554864,18.5153777574045,-5.034775202657283,64.39944124993956
 0.3788505405338026,6.1649013408092035,0.7490789258762138,177.19839233158183,1.136551621601408,2.9999999999999902,-0.0789878151126804,18.87956846060577,-5.208533406817383,68.26057134608112
 0.38436454604128945,6.158596482957386,0.7493906301984847,177.16967244969067,1.1530936381238686,3.00000000000002,-0.08050405015928569,19.25595762695226,-5.384253890534909,72.22412589736871
